Start Time,Duration,Run ID,Name,Source Type,Source Name,User,Status,test_mse,test_r2
2023-09-11 17:02:08,7.6min,3d2ebfe9af7c40b3876087eb473145d3,method-sto-lr-0.01-reg-Lasso,LOCAL,/Users/shafisourov/anaconda3/envs/Computer-programming/lib/python3.11/site-packages/ipykernel_launcher.py,chaky,FINISHED,0.2098480985248158,0.38420081045543175
2023-09-11 23:54:05,5.6min,0a7b170ec895480892a9e91055590c4f,method-sto-lr-0.0001-reg-Normal,LOCAL,/Users/shafisourov/anaconda3/envs/Computer-programming/lib/python3.11/site-packages/ipykernel_launcher.py,chaky,FINISHED,0.8953319608110311,0.131576934941118
2023-09-11 22:32:20,5.4min,e70ba2df306c4966a61f1de669f2bd13,method-sto-lr-0.0001-reg-Normal,LOCAL,/Users/shafisourov/anaconda3/envs/Computer-programming/lib/python3.11/site-packages/ipykernel_launcher.py,chaky,FINISHED,0.8958840137060172,0.13150777789495727
2023-09-11 15:40:28,3.3min,52ede58b0bca406dac6e83c0986ee9d6,method-mini-lr-0.0001-reg-Polynomial,LOCAL,/Users/shafisourov/anaconda3/envs/Computer-programming/lib/python3.11/site-packages/ipykernel_launcher.py,chaky,FINISHED,1.0904716633543525,0.09789216208645257
2023-09-11 16:26:47,3.4min,d722a0e1f00d4bffa737f9f94db6c964,method-mini-lr-0.0001-reg-Polynomial,LOCAL,/Users/shafisourov/anaconda3/envs/Computer-programming/lib/python3.11/site-packages/ipykernel_launcher.py,chaky,FINISHED,1.0896537214274558,0.09774541209297183
2023-09-11 14:08:37,2.2min,ac6c357da658485fb868a206a0cae9c7,method-batch-lr-0.01-reg-Polynomial,LOCAL,/Users/shafisourov/anaconda3/envs/Computer-programming/lib/python3.11/site-packages/ipykernel_launcher.py,chaky,FINISHED,1.4657978546492334,0.026971715515744288
2023-09-11 15:50:48,2.9min,074c5ec2f2244793bbd2854e321ec7aa,method-batch-lr-0.01-reg-Polynomial,LOCAL,/Users/shafisourov/anaconda3/envs/Computer-programming/lib/python3.11/site-packages/ipykernel_launcher.py,chaky,FINISHED,1.4646575754728464,0.02654951422802998
2023-09-11 16:16:38,1.5min,5ce1ef14d0a94dc9a89b0702d439d3a5,method-sto-lr-0.0001-reg-Polynomial,LOCAL,/Users/shafisourov/anaconda3/envs/Computer-programming/lib/python3.11/site-packages/ipykernel_launcher.py,chaky,FINISHED,2.416395898388023e+304,-0.00833948342472568
2023-09-11 15:39:24,1.1min,80d7c66e9c7c47b3b0e9d82889ef9f1b,method-mini-lr-0.001-reg-Polynomial,LOCAL,/Users/shafisourov/anaconda3/envs/Computer-programming/lib/python3.11/site-packages/ipykernel_launcher.py,chaky,FINISHED,7.990929831465795e+303,-0.024344689754583815
2023-09-11 14:30:41,1.1h,f6dc65db0ae3433bb8ea191c7ad80f35,method-sto-lr-0.001-reg-Polynomial,LOCAL,/Users/shafisourov/anaconda3/envs/Computer-programming/lib/python3.11/site-packages/ipykernel_launcher.py,chaky,FINISHED,2.986881851272198e+304,-0.029333533295924807
